"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Успешная отправка заявки из футера","4","0","","0"
"0","","0","Успешная отправка заявки из блока Get in touch","2","0","","0"
"0","","0","","5","0","","0"
"0","","0","Успешная отправка заявки из баннера","3","0","","0"
